date,temp_max,temp_min,humidity_specific,pressure,precipitation_total,solar_radiation,wind_speed,lat,lon
1984-03-06,30.94,10.66,4.52,100.64,0.0,3.672,3.58,30.4439168,30.9707264
1984-03-07,23.25,11.56,4.96,101.04,0.0,5.021,1.26,30.4439168,30.9707264
1984-03-08,23.55,10.13,4.99,100.85,0.0,2.9417,2.65,30.4439168,30.9707264
1984-03-09,28.54,13.3,5.75,100.02,0.0,2.5632,4.9,30.4439168,30.9707264
1984-03-10,23.77,10.27,5.0,101.0,0.0,5.2958,2.81,30.4439168,30.9707264
1984-03-11,23.14,7.68,4.6,101.26,0.0,5.0837,2.85,30.4439168,30.9707264
1984-03-12,22.46,7.67,5.57,101.34,0.0,5.5596,2.57,30.4439168,30.9707264
1984-03-13,21.04,7.12,5.59,101.12,0.01,4.0188,2.66,30.4439168,30.9707264
1984-03-14,21.93,8.72,5.74,100.76,0.03,5.3047,2.84,30.4439168,30.9707264
1984-03-15,21.65,7.12,4.51,100.69,0.0,4.7206,2.16,30.4439168,30.9707264
1984-03-16,26.95,7.69,5.19,100.44,0.22,6.0324,2.2,30.4439168,30.9707264
1984-03-17,25.33,9.98,5.99,100.6,0.03,5.1463,3.13,30.4439168,30.9707264
1984-03-18,23.1,8.67,6.17,101.0,0.15,5.4881,3.07,30.4439168,30.9707264
1984-03-19,23.04,8.54,5.78,101.16,0.01,5.6474,2.34,30.4439168,30.9707264
1984-03-20,25.25,7.25,5.13,101.15,0.0,6.0432,2.68,30.4439168,30.9707264
1984-03-21,27.65,7.83,5.47,101.16,0.01,5.9426,2.88,30.4439168,30.9707264
1984-03-22,30.13,11.25,4.2,100.63,1.35,1.9872,3.47,30.4439168,30.9707264
1984-03-23,29.23,15.12,5.17,100.31,0.95,2.3174,3.32,30.4439168,30.9707264
1984-03-24,26.64,12.44,7.28,100.49,2.19,5.0275,2.24,30.4439168,30.9707264
1984-03-25,24.6,10.75,7.0,100.78,2.1,5.2654,2.79,30.4439168,30.9707264
1984-03-26,23.26,10.35,6.04,101.24,0.2,5.7194,3.38,30.4439168,30.9707264
1984-03-27,24.64,9.16,5.57,101.63,0.0,5.977,2.0,30.4439168,30.9707264
1984-03-28,25.62,8.9,6.03,101.73,0.0,6.7543,3.08,30.4439168,30.9707264
1984-03-29,26.46,8.78,6.31,101.53,0.0,6.8681,2.88,30.4439168,30.9707264
1984-03-30,27.73,9.27,6.26,101.32,0.0,6.6946,2.35,30.4439168,30.9707264
1984-03-31,29.9,10.74,5.63,101.27,0.0,6.6814,1.44,30.4439168,30.9707264
1984-04-01,29.9,11.33,6.37,101.37,0.0,6.5333,2.45,30.4439168,30.9707264
1984-04-02,29.27,10.05,6.64,101.31,0.0,6.6677,2.82,30.4439168,30.9707264
1984-04-03,30.0,10.14,6.58,101.08,0.0,6.6014,2.28,30.4439168,30.9707264
1984-04-04,32.93,10.42,5.95,100.81,0.0,6.4754,2.14,30.4439168,30.9707264
1984-04-05,35.59,12.86,4.95,100.63,0.0,6.3427,1.79,30.4439168,30.9707264
1984-04-06,35.73,12.96,5.61,100.62,0.0,6.4726,1.63,30.4439168,30.9707264
1984-04-07,32.03,15.07,5.29,100.47,0.0,6.6228,3.43,30.4439168,30.9707264
1984-04-08,25.82,12.03,5.26,100.6,0.0,6.3905,3.49,30.4439168,30.9707264
1984-04-09,24.71,11.33,4.43,100.75,0.09,6.5863,3.37,30.4439168,30.9707264
1984-04-10,25.78,11.01,5.59,100.91,0.02,6.1752,3.58,30.4439168,30.9707264
1984-04-11,27.27,10.19,5.72,101.21,0.0,6.0463,2.67,30.4439168,30.9707264
1984-04-12,30.6,12.11,4.99,100.99,0.0,6.7423,1.88,30.4439168,30.9707264
1984-04-13,37.35,17.13,4.68,100.54,0.0,6.1181,3.81,30.4439168,30.9707264
1984-04-14,33.7,14.37,7.05,100.75,0.0,6.5933,1.36,30.4439168,30.9707264
1984-04-15,25.94,14.72,6.35,100.56,0.0,6.2117,5.15,30.4439168,30.9707264
1984-04-16,25.83,12.85,6.34,100.75,0.0,6.907,5.09,30.4439168,30.9707264
1984-04-17,28.03,10.46,5.1,100.65,0.0,6.5141,1.64,30.4439168,30.9707264
1984-04-18,34.21,15.82,4.66,100.51,0.0,5.7271,4.66,30.4439168,30.9707264
1984-04-19,25.8,13.2,6.13,101.11,0.0,6.9737,1.67,30.4439168,30.9707264
1984-04-20,30.48,12.28,5.32,100.95,0.02,7.2367,2.64,30.4439168,30.9707264
1984-04-21,27.25,12.68,6.35,101.03,0.0,6.587,2.98,30.4439168,30.9707264
1984-04-22,24.53,10.78,5.63,101.15,0.0,6.6014,2.99,30.4439168,30.9707264
1984-04-23,24.77,9.5,5.49,101.21,0.0,6.2472,2.76,30.4439168,30.9707264
1984-04-24,24.13,10.13,6.12,101.24,0.0,6.2328,2.86,30.4439168,30.9707264
1984-04-25,25.84,9.99,5.17,101.34,0.0,6.7906,2.4,30.4439168,30.9707264
1984-04-26,29.21,9.48,4.5,101.1,0.0,7.5454,1.47,30.4439168,30.9707264
1984-04-27,33.57,13.99,4.66,100.72,0.0,7.3478,4.03,30.4439168,30.9707264
1984-04-28,28.12,11.28,6.53,101.09,0.0,7.3262,2.57,30.4439168,30.9707264
1984-04-29,31.4,11.87,5.89,101.15,0.0,7.3255,2.83,30.4439168,30.9707264
